"x"
-29.359089
-26.0296446365412
-18.8679429930815
-22.6581607065539
-27.1698871176249
-27.7549278230257
-30.9986744639109
-35.1907958369231
-39.1393674307725
-44.2941490632172
-47.381624288713
-49.7043679298064
-49.8256857816862
-53.4976011469743
-49.31824485041
-45.7867002809324
-47.9885285507581
-43.430049174462
-46.7109329795226
-47.5268144658537
-48.9186160667947
-51.841139364388
-53.9090349844327
-56.6693736701393
-55.5756136431131
-55.6963699147868
-60.997299091498
-65.0813557114648
-68.0726081706598
-66.1014281383215
-68.870080568202
-69.5303304493678
-77.7245969412628
